                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.571,                 3.3125,                  1.226,                 1.7591,                 4.8468,                 1.1516,                0.01658,                0.53541,                0.25481,                0.17772,                 1.2612,                 3.4646,                 0.9612,                   1.54,                  5.526,                0.94448,             0.00032828,             0.00032828,             0.00032828
                      2,                 1.3135,                 1.5903,                 1.0418,                 1.5773,                  3.109,                  1.003,                0.68373,                 0.5668,                0.63071,                0.42347,                 1.1977,                 1.8048,                 1.0051,                 1.4748,                 3.7323,                0.96009,             0.00065507,             0.00065507,             0.00065507
                      3,                 1.1789,                 1.2182,                 1.0159,                 1.5297,                 2.5222,                0.99053,                0.54933,                0.68404,                0.67497,                0.44149,                 1.0833,                 1.1477,                0.98207,                 1.4018,                 2.6225,                 0.9917,             0.00097525,             0.00097525,             0.00097525
                      4,                  1.161,                 1.1076,                 1.0067,                 1.5437,                 2.2112,                0.99575,                0.75194,                0.60781,                0.76588,                0.47619,                 1.0849,                 1.2396,                0.95969,                 1.4085,                 2.3521,                 0.9899,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1126,                 1.0005,                0.98753,                 1.4828,                 1.8694,                0.98787,                0.72012,                0.66276,                0.75234,                0.47847,                 1.0654,                 1.0156,                0.96146,                 1.4288,                 1.8211,                0.97678,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.0998,                0.94156,                0.99221,                 1.4877,                 1.6823,                0.99911,                0.66591,                0.73036,                0.78765,                0.46621,                 1.0737,                0.98407,                0.97304,                  1.446,                 1.7462,                0.97581,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.0702,                0.89647,                0.98756,                 1.4914,                 1.5218,                0.99252,                0.75238,                0.69818,                0.77138,                0.51716,                 1.0193,                0.91632,                0.95537,                 1.3625,                 1.4694,                0.95885,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.0576,                0.82026,                0.97231,                 1.4748,                 1.3509,                0.98067,                0.61348,                0.82538,                0.73598,                 0.4692,                 1.0378,                0.88113,                0.95791,                 1.4416,                 1.5035,                0.98979,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.0411,                0.79773,                0.97043,                 1.4411,                 1.2544,                0.97315,                0.71264,                0.76681,                0.77504,                0.50667,                 1.0439,                0.84491,                0.97031,                 1.3971,                 1.1648,                0.96989,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.0291,                0.75612,                0.95174,                 1.4363,                 1.1641,                0.96827,                0.66189,                0.82926,                   0.81,                0.55473,                0.99966,                 0.7528,                0.95815,                 1.3389,                0.96461,                0.95862,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.0141,                0.73013,                0.95612,                 1.3911,                 1.0933,                0.96641,                 0.7817,                0.68638,                0.78215,                  0.519,                 1.0406,                0.75048,                0.97255,                 1.3861,                 1.0133,                0.97612,              0.0009109,              0.0009109,              0.0009109
                     12,                0.99568,                0.69447,                0.95015,                 1.3716,                 1.0127,                0.95649,                0.77367,                0.78169,                0.82537,                0.50745,                 1.0504,                 0.7047,                 0.9741,                  1.464,                0.91943,                0.98533,               0.000901,               0.000901,               0.000901
                     13,                 1.0171,                0.70569,                0.95509,                  1.404,                 1.0434,                0.96012,                0.75616,                0.63098,                0.73719,                0.51557,                0.99885,                 0.7633,                0.95189,                 1.3785,                  1.131,                0.96687,              0.0008911,              0.0008911,              0.0008911
                     14,                0.98131,                0.66921,                0.95164,                 1.3702,                0.98887,                0.95702,                0.81873,                0.71108,                0.82511,                0.55285,                0.94638,                0.64938,                 0.9571,                 1.3566,                0.90677,                0.96675,              0.0008812,              0.0008812,              0.0008812
                     15,                0.97453,                0.64584,                0.94586,                 1.3736,                 0.9542,                0.96285,                 0.7298,                 0.8384,                0.83364,                0.56884,                 1.0291,                0.64127,                0.99813,                 1.3062,                0.90681,                0.95676,              0.0008713,              0.0008713,              0.0008713
                     16,                0.96679,                0.62763,                0.93507,                 1.3602,                0.89343,                0.94534,                0.69648,                0.79954,                0.80848,                0.55708,                0.96636,                 0.6437,                0.95129,                 1.3407,                0.87861,                0.96198,              0.0008614,              0.0008614,              0.0008614
                     17,                0.96247,                0.62668,                0.93412,                 1.3489,                0.89642,                0.94468,                0.66755,                0.85377,                0.82783,                0.56527,                0.96528,                0.62558,                 0.9242,                 1.3078,                0.82822,                0.94564,              0.0008515,              0.0008515,              0.0008515
                     18,                0.95741,                0.61836,                 0.9399,                 1.3493,                  0.879,                0.95464,                0.76673,                0.84264,                0.81987,                0.55419,                0.97002,                0.65116,                0.93857,                 1.3018,                0.84585,                0.95951,              0.0008416,              0.0008416,              0.0008416
                     19,                0.97105,                0.61796,                0.94378,                 1.3522,                0.85328,                0.96062,                0.81117,                0.80859,                0.83508,                0.58313,                0.98572,                0.61493,                 0.9347,                 1.3474,                0.78016,                0.95154,              0.0008317,              0.0008317,              0.0008317
